,﻿
嫧,zé
嫨,hān
嫪,lào
嫬,zhē
嫭,hù
嫮,hù
嫯,ào
嫰,nèn
嫲,ma
嫳,piè
嫴,gū
嫵,wǔ
嫶,qiáo
嫷,tuǒ
嫸,zhǎn
嫹,miáo
嫺,xián
嫻,xián
嫼,mò
嫽,liáo
嫾,lián
嫿,huà
嬀,guī
嬁,dēng
嬂,zhí
嬃,xū
嬄,yī
嬅,huà
嬆,xī
嬇,kuì
嬈,ráo
嬊,yàn
嬋,chán
嬌,jiāo
嬍,měi
嬎,fàn
嬏,fān
嬐,xiān
嬑,yì
嬒,huì
